Periodo;TOTAL;Alemania;Bélgica;España;Francia;Holanda;Irlanda;Italia;Países Nórdicos;Reino Unido;Suiza;Otros países
   2021 Primer trimestre;477659512,6;152606511,7;12705540,9;78030977,49;58531401,97;5010331,14;8110127,88;19394886,55;26269222,84;12702653,63;10635586,45;93662272,09
2020;4867832392;1087000751;194847776,8;573726277,9;209375138,6;177528405;119279870,7;133156221,9;681656011,1;1204048143;91963171,25;395250626
   2020 Cuarto trimestre;666689935,9;177623776,7;45402357,78;103904686,3;35847935,99;12527351,02;16428548,87;14679817,45;22112677,24;157597184,9;12601645,21;67963954,43
   2020 Tercer trimestre;803894826;170802189,8;50000759,14;254588240,5;44020440,22;35807560,5;15169926,65;33275431,98;3902210,2;124168196,5;13096445,39;59063425,09
   2020 Segundo trimestre;..;..;..;..;..;..;..;..;..;..;..;..
   2020 Primer trimestre;3397247630;738574784;99444659,83;215233351;129506762,4;129193493,5;87681395,22;85200972,5;655641123,7;922282761,1;66265080,65;268223246,5
2019;15091458289;3054488941;425534917,6;1486875187;561308911,3;590534387,1;555161957,8;404990451,8;1704471805;4779367718;343499991,3;1185224021
   2019 Cuarto trimestre;4254029144;913978199,6;105687826,2;283303735,5;133050536,3;161630993;129227393,6;91607763,93;697708375;1316447463;117526088,7;303860769,2
   2019 Tercer trimestre;3987289150;651196665,2;117255231,4;612696871,8;172285947;172663113,8;181990178,1;128090078,5;114739857,2;1402983689;74132544,86;359254973,8
   2019 Segundo trimestre;3258939560;673514426,6;110256642,5;366653923,5;140886099,2;125996431,2;148370951,1;76564292,69;185296022,6;1102464517;75167397,45;253768855,5
   2019 Primer trimestre;3591200436;815799649,5;92335217,42;224220656,2;115086328,7;130243849,2;95573435,07;108728316,6;706727550,8;957472048,8;76673960,33;268339422,8
2018;16124869505;3564609621;488867986,3;1375805479;573055482;609513519,1;550357874;449184359,5;1885401270;5000501478;374778593,9;1252793842
   2018 Cuarto trimestre;4263615303;964681801;126679963;276555156,3;114300903,1;142378219,4;128505355;91206304,93;689830408,7;1321484967;113737858,7;294254366,7
   2018 Tercer trimestre;4241863281;853654735,1;132191994,8;534923583,8;174644764,1;170201004,9;160747321,7;139008581,1;132932063,7;1497780010;95712600,27;350066621,4
   2018 Segundo trimestre;3416128958;776597005,1;110003797,2;333791738,2;146467278,5;140207146,7;154180076,7;105662219,4;185609416,8;1094316914;83502201,37;285791163,5
   2018 Primer trimestre;4203261963;969676080;119992231,3;230535000,8;137642536,3;156727148,1;106925120,7;113307254,1;877029380,4;1086919587;81825933,56;322681690,8
2017;15466728169;3523346452;480349153,9;1226551415;525177202,2;645227392,5;455776921,1;470151448,2;1931263642;4682136067;381861345;1144887130
   2017 Cuarto trimestre;4305803280;1081825310;116025920,1;238224927,4;109957240,2;168020189,3;118379419,5;103112894,8;730693381,9;1185629429;134803247,7;319131319,3
   2017 Tercer trimestre;3892917290;763314616,8;125424275,1;472636970,3;164930798,2;181739698,1;128073869,6;145717309,3;135336127,1;1371931955;92244107,31;311567564
   2017 Segundo trimestre;3153742717;745057744,2;102408828,1;279944419,2;124390723,4;135247652,6;110576797,5;109442431,5;171758337,8;1062177616;75855264,93;236882901,6
   2017 Primer trimestre;4114264883;933148780,3;136490130,5;235745098,4;125898440,5;160219852,5;98746834,48;111878812,6;893475794,8;1062397068;78958725,07;277305345,4
2016;14450024823;3385467593;453033491;1213017261;544857455,9;582353783,5;419073323;422301733,2;1775259025;4391924253;343442427,9;919294477,4
   2016 Cuarto trimestre;3991130401;977678664,9;126479768,9;242713179,1;104258781,8;144390508,1;100948827,7;102140761,6;708424244,5;1138509054;113753061,3;231833548,4
   2016 Tercer trimestre;3759408527;751271801,6;125817690,9;496411239;168505537,6;177334681,3;125927321,4;134177805,5;114780967;1311573688;86017437,41;267590356,6
   2016 Segundo trimestre;2856690308;679764976,9;93722990,48;248717276,9;140342198,3;127182001,5;100619061,1;87868939,2;131595275,1;970305333,6;75562633,36;201009621,2
   2016 Primer trimestre;3842795588;976752149,7;107013040,7;225175565,5;131750938,2;133446592,6;91578112,86;98114226,92;820458538,5;971536176,2;68109295,77;218860951,3
2015;12506913187;2820021268;395134704,8;1010984424;478813999,5;464467873,9;360682651,6;320883721,9;1703632699;3855394028;308567520,8;788330296,2
   2015 Cuarto trimestre;3439167982;825600862,8;101818146,7;195736423,5;94322443,73;120420156,7;88629797,54;73310603,14;668679379,9;976014554,7;99276504,31;195359108,8
   2015 Tercer trimestre;3277500902;601103560;113155320,6;415669292,8;149867798,8;134165863,6;108961465,8;103708811;112205706,2;1244614330;64985863,62;229062889,5
   2015 Segundo trimestre;2459363745;565705628,1;81806854,06;236689962,5;120670463,7;91450777,88;92359278,97;66838212,58;154333862,8;809137240,5;71771171,01;168600292,7
   2015 Primer trimestre;3330880559;827611216,8;98354383,43;162888744,9;113953293,3;118431075,7;70732109,3;77026095,2;768413749,8;825627903,1;72533981,85;195308005,2
2014;11514910870;2781156993;346040575,8;937021733,6;410885779,7;435813083;335116721,5;272213043,1;1718299636;3195926608;277012967,2;805423729,5
   2014 Cuarto trimestre;3067916728;761725954,3;85628581,03;191034635,4;93802153,16;113611616,4;69025163,78;70933745,14;611153180,1;795328455,5;93302019,65;182371223,9
   2014 Tercer trimestre;2907075121;626831468,7;87447740,93;370104693,2;115970410,8;116603685,9;106859589,8;79257937,21;121827872,5;982980087,1;63364891,63;235826743,3
   2014 Segundo trimestre;2353670147;554166005,2;77149542,88;226873058,6;101555024,6;81248691,2;84704630,42;55060683,51;169755907;760073363,6;54154047,89;188929191,8
   2014 Primer trimestre;3186248874;838433564,4;95814710,99;149009346,4;99558191,24;124349089,6;74527337,52;66960677,29;815562676,9;657544701,5;66192008,02;198296570,5
2013;10849500679;2589366104;341626798;962798225,3;345683015,3;448991583,1;315686223,1;212593808,2;1747010769;2814891683;246879838;823972632,3
   2013 Cuarto trimestre;3072162025;792668180,1;91567511,6;187582679,8;78164531,79;116881376;70444394,66;53934377,21;692627164;709573450,7;80494442,11;198223916,6
   2013 Tercer trimestre;2705876428;558315983;81482350,98;373427600,8;111619943,4;128894078,8;101817487,9;73395400,51;108615817,3;836788296,8;63781018,57;267738450,3
   2013 Segundo trimestre;2095696978;488545661,1;74567508,51;217501319,5;76446576,77;82252712,92;74632423,46;37381182,21;161464212;645370201,4;51751939,29;185783241,2
   2013 Primer trimestre;2975765248;749836279,8;94009426,88;184286625,2;79451963,34;120963415,4;68791917,14;47882848,24;784303575,4;623159734,5;50852438;172227024,3
2012;10439693867;2581468934;327219393,3;984644889,9;274236454,5;439014582,5;295723428,7;209623161,7;1603497709;2791242952;220924582;712097779,6
   2012 Cuarto trimestre;2818707328;705759678,3;83360038,14;174664339,1;57196524,22;105825807,6;70182761;38670213,35;649824275,6;705023845,4;67363607,97;160836237,7
   2012 Tercer trimestre;2697076544;599972503,8;89355307,76;410954459;83946497,76;130753077,8;91531062,24;76208956,47;98642562,15;834798248,7;55513148,46;225400719,6
   2012 Segundo trimestre;2001709508;496394965,1;65133800,78;234219976,2;61721424,81;78905297,41;70657713,81;39107618,68;134133875,3;609768634,8;48328135,75;163338065,5
   2012 Primer trimestre;2922200487;779341786,9;89370246,61;164806115,6;71372007,76;123530399,7;63351891,59;55636373,22;720896995,9;641652223,2;49719689,76;162522756,8
2011;9969461447;2469579134;346345994,2;1089098152;263448389,6;410436656,7;281334975,4;258826337,2;1518473292;2412668242;220507246,8;698743028,2
   2011 Cuarto trimestre;2633112396;711542358,2;85662042,41;210149009,3;46884651,92;106395380,3;58701102,22;39426775,9;558158157,5;593835575,6;67844772,8;154512569,7
   2011 Tercer trimestre;2543391133;557494828,5;90673117,18;448278740,7;83519720,82;114521847,8;90238229,11;95898384,84;79326533,59;712306123,1;57223713,55;213909893,9
   2011 Segundo trimestre;2040815091;498126193,9;74173521,8;236849892,9;66173118,92;81228312,95;69400432,82;56857483,12;169797816,2;574177780,2;45106043,77;168924494,9
   2011 Primer trimestre;2752142827;702415753;95837312,76;193820509;66870897,96;108291115,6;62995211,22;66643693,38;711190784,6;532348763;50332716,65;161396069,8
2010;8596915698;2160019375;266037090,6;1110029643;175721711,8;348927639,8;272854235,4;175146459,2;1202071238;2140294523;170278360,3;575535421,5
   2010 Cuarto trimestre;2295540958;610389705,2;73163837,99;229997771,2;37537403,68;88344389,76;48149851,49;33208326,89;465372612,5;532166378,7;55327888,3;121882792,5
   2010 Tercer trimestre;2260892904;485267565,4;79976635,18;429370430,1;49959287,7;99761644,53;95424904,6;64778679,26;74038113,32;644469494,1;41178505,11;196667644,2
   2010 Segundo trimestre;1712248361;450476116,9;50141767,51;257184493,6;41372987,11;71087766,11;66216456,53;32985544,24;114046051,3;469615229,6;40061703,71;119060244,1
   2010 Primer trimestre;2328233476;613885987,3;62754849,9;193476948,4;46852033,34;89733839,38;63063022,77;44173908,86;548614461,3;494043421,1;33710263,14;137924740,7
